attachment1,attachment2,diffusion1,diffusion2,total,attachment1_norm,attachment2_norm,diffusion1_norm,diffusion2_norm
4,185,202,13521,20502,0.000195102916788606,0.009023509901473027,0.009852697297824602,0.6594966344746854
5,194,92,12704,19803,0.00025248699691965865,0.009796495480482755,0.004645760743321719,0.6415189617734687
0,40,31,2398,3762,0.0,0.01063264221158958,0.008240297713981925,0.6374269005847953
3,125,83,8277,12720,0.0002358490566037736,0.009827044025157232,0.006525157232704403,0.6507075471698113
1,20,32,1676,2614,0.00038255547054322876,0.0076511094108645756,0.01224177505738332,0.6411629686304514
4,139,110,11053,16893,0.0002367844669389688,0.008228260226129165,0.006511572840821642,0.6542946782691056
7,379,280,25796,39893,0.00017546938059308652,0.009500413606397112,0.00701877522372346,0.6466297345398943
1,92,54,6276,9769,0.00010236462278636504,0.009417545296345583,0.005527689630463711,0.642440372607227
1,8,34,442,703,0.001422475106685633,0.011379800853485065,0.04836415362731152,0.6287339971550497
2,240,184,16646,25515,7.838526357044875e-05,0.00940623162845385,0.007211444248481286,0.6524005486968449
0,0,1,0,1,0.0,0.0,1.0,0.0
2,50,61,3642,5554,0.00036010082823190496,0.009002520705797623,0.0109830752610731,0.6557436082102989
1,158,86,11517,17683,5.6551490131764975e-05,0.008935135440818866,0.004863428151331788,0.6513035118475372
11,246,217,19691,29744,0.0003698224852071006,0.008270575578267885,0.0072955890263582575,0.662015868746638
0,9,9,479,697,0.0,0.01291248206599713,0.01291248206599713,0.6872309899569584
2,131,63,9692,14862,0.00013457139012245997,0.008814426053021128,0.004238998788857489,0.6521329565334409
0,62,62,3252,5048,0.0,0.012282091917591125,0.012282091917591125,0.6442155309033281
0,0,1,0,1,0.0,0.0,1.0,0.0
1,138,134,9447,14494,6.899406651028011e-05,0.009521181178418657,0.009245204912377536,0.6517869463226162
0,3,27,383,586,0.0,0.005119453924914676,0.04607508532423208,0.6535836177474402
0,0,1,0,1,0.0,0.0,1.0,0.0
4,248,199,16129,24765,0.00016151827175449224,0.010014132848778518,0.008035534019785988,0.6512820512820513
2,74,146,5281,7924,0.0002523977788995457,0.00933871781928319,0.018425037859666836,0.6664563351842504
0,78,77,4882,7415,0.0,0.010519217801753203,0.01038435603506406,0.6583951449763992
2,98,75,6079,9649,0.00020727536532283138,0.010156492900818737,0.007772826199606177,0.630013472898746
0,0,13,0,13,0.0,0.0,1.0,0.0
2,54,88,4251,6538,0.0003059039461609055,0.008259406546344448,0.01345977363107984,0.6501988375650046
2,179,156,12956,19906,0.00010047221943132724,0.008992263639103788,0.007836833115643524,0.6508590374761378
5,344,268,24576,37756,0.00013242928276300457,0.009111134654094714,0.007098209556097045,0.65091641063672
1,47,87,2800,4259,0.00023479690068091102,0.011035454332002818,0.020427330359239257,0.6574313219065508
2,144,125,11132,16952,0.00011798017932987259,0.008494572911750826,0.007373761208117036,0.6566776781500708
2,134,143,8506,13177,0.00015177961599757153,0.010169234271837291,0.010852242543826364,0.6455187068376717
1,60,128,4734,7280,0.00013736263736263736,0.008241758241758242,0.017582417582417582,0.6502747252747253
0,68,53,3822,6023,0.0,0.011290054789971775,0.008799601527478001,0.6345674912834136
0,0,3,0,3,0.0,0.0,1.0,0.0
0,39,23,2827,4299,0.0,0.009071877180739707,0.005350081414282391,0.657594789485927
1,35,44,2104,3505,0.0002853067047075606,0.009985734664764621,0.012553495007132667,0.6002853067047076
1,52,59,3639,5519,0.0001811922449719152,0.00942199673853959,0.010690342453342997,0.6593585794527994
0,16,28,1019,1625,0.0,0.009846153846153846,0.01723076923076923,0.6270769230769231
