attachment1,attachment2,diffusion1,diffusion2,total,attachment1_norm,attachment2_norm,diffusion1_norm,diffusion2_norm
17,582,66,6429,10370,0.001639344262295082,0.056123432979749276,0.006364513018322083,0.6199614271938283
14,319,104,3822,6401,0.0021871582565224186,0.049835963130760816,0.016247461334166536,0.5970942040306202
26,396,87,5144,7995,0.0032520325203252032,0.04953095684803002,0.010881801125703566,0.6434021263289555
4,241,68,2972,4737,0.0008444162972345366,0.05087608190838083,0.014355077052987122,0.6274013088452607
17,359,82,4335,6926,0.0024545192030031764,0.051833670228125905,0.011839445567427087,0.6259023967658099
33,592,115,6940,11178,0.0029522275899087494,0.05296117373412059,0.0102880658436214,0.6208624083020218
5,44,24,716,1084,0.004612546125461255,0.04059040590405904,0.02214022140221402,0.6605166051660517
7,121,18,1211,2028,0.0034516765285996054,0.059664694280078895,0.008875739644970414,0.5971400394477318
36,968,177,10822,17738,0.0020295410982072385,0.05457210508512798,0.00997857706618559,0.6101026045777427
8,158,32,1925,3135,0.002551834130781499,0.05039872408293461,0.010207336523125997,0.6140350877192983
17,455,74,5877,9458,0.0017974201733981815,0.04810742228801015,0.007824064284203848,0.6213787270035949
0,0,4,0,4,0.0,0.0,1.0,0.0
13,366,65,4606,7481,0.0017377355968453416,0.04892394064964577,0.008688677984226708,0.6156930891592033
27,695,142,8212,13126,0.002056986134389761,0.05294834679262533,0.01081822337345726,0.6256285235410636
35,811,137,9716,15800,0.0022151898734177216,0.05132911392405063,0.008670886075949367,0.6149367088607595
10,499,58,5307,8548,0.001169864295741694,0.05837622835751053,0.006785212915301825,0.620846981750117
2,20,31,217,375,0.005333333333333333,0.05333333333333334,0.08266666666666667,0.5786666666666667
1,129,47,1459,2459,0.00040666937779585197,0.05246034973566491,0.01911346075640504,0.593330622204148
0,0,9,0,9,0.0,0.0,1.0,0.0
20,425,90,4883,8045,0.002486016159105034,0.052827843380981974,0.011187072715972654,0.6069608452454941
24,386,105,4781,7569,0.0031708283789139914,0.050997489760866696,0.013872374157748711,0.6316554366494913
28,421,75,4833,8004,0.0034982508745627187,0.05259870064967516,0.009370314842578711,0.6038230884557722
13,413,69,4962,7938,0.00163769211388259,0.05202821869488536,0.008692365835222978,0.6250944822373394
8,121,12,1585,2544,0.0031446540880503146,0.04756289308176101,0.0047169811320754715,0.6230345911949685
0,0,2,0,2,0.0,0.0,1.0,0.0
0,0,2,0,2,0.0,0.0,1.0,0.0
24,579,144,6770,10999,0.0021820165469588143,0.0526411491953814,0.013092099281752886,0.6155105009546322
6,175,95,2273,3643,0.0016469942355201758,0.04803733186933846,0.026077408729069447,0.6239363162228933
3,117,34,1248,2115,0.0014184397163120568,0.05531914893617021,0.01607565011820331,0.5900709219858156
