x = 3235.59, y = 5.012491e-03
x = 3245.50, y = 5.013865e-03
x = 3255.41, y = 5.015219e-03
x = 3265.32, y = 5.016553e-03
x = 3275.23, y = 5.017868e-03
x = 3285.14, y = 5.019163e-03
x = 3295.05, y = 5.020439e-03
x = 3304.95, y = 5.021696e-03
x = 3314.86, y = 5.022933e-03
x = 3324.77, y = 5.024150e-03
x = 3334.68, y = 5.025348e-03
x = 3344.59, y = 5.026526e-03
x = 3354.50, y = 5.027685e-03
x = 3364.41, y = 5.028824e-03
x = 3374.32, y = 5.029944e-03
x = 3384.23, y = 5.031045e-03
x = 3394.14, y = 5.032125e-03
x = 3404.05, y = 5.033187e-03
x = 3413.96, y = 5.034228e-03
x = 3423.87, y = 5.035251e-03
x = 3433.78, y = 5.036253e-03
x = 3443.69, y = 5.037237e-03
x = 3453.60, y = 5.038200e-03
x = 3463.51, y = 5.039144e-03
x = 3473.42, y = 5.040069e-03
x = 3483.33, y = 5.040974e-03
x = 3493.24, y = 5.041860e-03
x = 3503.15, y = 5.042726e-03
x = 3513.06, y = 5.043573e-03
x = 3522.97, y = 5.044400e-03
x = 3532.88, y = 5.045207e-03
x = 3542.79, y = 5.045995e-03
x = 3552.70, y = 5.046764e-03
x = 3562.61, y = 5.047513e-03
x = 3572.52, y = 5.048242e-03
x = 3582.43, y = 5.048952e-03
x = 3592.34, y = 5.049643e-03
x = 3602.25, y = 5.050314e-03
x = 3612.16, y = 5.050965e-03
x = 3622.07, y = 5.051597e-03
x = 3631.98, y = 5.052210e-03
x = 3641.89, y = 5.052803e-03
x = 3651.80, y = 5.053376e-03
x = 3661.71, y = 5.053930e-03
x = 3671.62, y = 5.054464e-03
x = 3681.53, y = 5.054979e-03
x = 3691.44, y = 5.055475e-03
x = 3701.35, y = 5.055950e-03
x = 3711.26, y = 5.056407e-03
x = 3721.17, y = 5.056844e-03
x = 3731.08, y = 5.057261e-03
x = 3740.99, y = 5.057659e-03
x = 3750.90, y = 5.058037e-03
x = 3760.81, y = 5.058396e-03
x = 3770.72, y = 5.058735e-03
x = 3780.63, y = 5.059055e-03
x = 3790.54, y = 5.059355e-03
x = 3800.45, y = 5.059636e-03
x = 3810.36, y = 5.059897e-03
x = 3820.27, y = 5.060138e-03
x = 3830.18, y = 5.060361e-03
x = 3840.09, y = 5.060563e-03
x = 3850.00, y = 5.060746e-03
x = 3859.91, y = 5.060910e-03
x = 3869.82, y = 5.061054e-03
x = 3879.73, y = 5.061179e-03
x = 3889.64, y = 5.061284e-03
x = 3899.55, y = 5.061369e-03
x = 3909.46, y = 5.061435e-03
x = 3919.37, y = 5.061482e-03
x = 3929.28, y = 5.061509e-03
x = 3939.19, y = 5.061516e-03
x = 3949.10, y = 5.061504e-03
x = 3959.01, y = 5.061473e-03
x = 3968.92, y = 5.061422e-03
x = 3978.83, y = 5.061351e-03
x = 3988.74, y = 5.061261e-03
x = 3998.65, y = 5.061151e-03
x = 4008.56, y = 5.060686e-03
x = 4018.47, y = 5.060158e-03
x = 4028.38, y = 5.059622e-03
x = 4038.29, y = 5.059076e-03
x = 4048.20, y = 5.058522e-03
x = 4058.11, y = 5.057960e-03
x = 4068.02, y = 5.057388e-03
x = 4077.93, y = 5.056808e-03
x = 4087.84, y = 5.056219e-03
x = 4097.75, y = 5.055622e-03
x = 4107.66, y = 5.055016e-03
x = 4117.57, y = 5.054401e-03
x = 4127.48, y = 5.053777e-03
x = 4137.39, y = 5.053145e-03
x = 4147.30, y = 5.052504e-03
x = 4157.21, y = 5.051855e-03
x = 4167.12, y = 5.051196e-03
x = 4177.03, y = 5.050529e-03
x = 4186.94, y = 5.049854e-03
x = 4196.85, y = 5.049169e-03
x = 4206.76, y = 5.048476e-03
x = 4216.67, y = 5.047775e-03
x = 4226.58, y = 5.047064e-03
x = 4236.49, y = 5.046345e-03
x = 4246.40, y = 5.045617e-03
x = 4256.31, y = 5.044881e-03
x = 4266.22, y = 5.044135e-03
x = 4276.13, y = 5.043381e-03
x = 4286.04, y = 5.042619e-03
x = 4295.95, y = 5.041848e-03
x = 4305.86, y = 5.041068e-03
x = 4315.77, y = 5.040279e-03
x = 4325.68, y = 5.039481e-03
x = 4335.59, y = 5.038675e-03
x = 4345.50, y = 5.037861e-03
x = 4355.41, y = 5.037037e-03
x = 4365.32, y = 5.036205e-03
x = 4375.23, y = 5.035364e-03
x = 4385.14, y = 5.034515e-03
x = 4395.05, y = 5.033656e-03
x = 4404.95, y = 5.032789e-03
x = 4414.86, y = 5.031914e-03
x = 4424.77, y = 5.031030e-03
x = 4434.68, y = 5.030137e-03
x = 4444.59, y = 5.029235e-03
x = 4454.50, y = 5.028324e-03
x = 4464.41, y = 5.027405e-03
x = 4474.32, y = 5.026478e-03
x = 4484.23, y = 5.025541e-03
x = 4494.14, y = 5.024596e-03
x = 4504.05, y = 5.023642e-03
x = 4513.96, y = 5.022680e-03
x = 4523.87, y = 5.021708e-03
x = 4533.78, y = 5.020728e-03
x = 4543.69, y = 5.019740e-03
x = 4553.60, y = 5.018743e-03
x = 4563.51, y = 5.017737e-03
x = 4573.42, y = 5.016722e-03
x = 4583.33, y = 5.015698e-03
x = 4593.24, y = 5.014666e-03
x = 4603.15, y = 5.013626e-03
x = 4613.06, y = 5.012576e-03
x = 4622.97, y = 5.011518e-03
x = 4632.88, y = 5.010451e-03
x = 4642.79, y = 5.009376e-03
x = 4652.70, y = 5.008291e-03
x = 4662.61, y = 5.007198e-03
x = 4672.52, y = 5.006097e-03
x = 4682.43, y = 5.004986e-03
x = 4692.34, y = 5.003867e-03
x = 4702.25, y = 5.002740e-03
x = 4712.16, y = 5.001603e-03
x = 4722.07, y = 5.000458e-03
x = 4731.98, y = 4.999304e-03
x = 4741.89, y = 4.998142e-03
x = 4751.80, y = 4.996971e-03
x = 4761.71, y = 4.995791e-03
x = 4771.62, y = 4.994602e-03
x = 4781.53, y = 4.993405e-03
x = 4791.44, y = 4.992199e-03
x = 4801.35, y = 4.990985e-03
x = 4811.26, y = 4.989761e-03
x = 4821.17, y = 4.988529e-03
x = 4831.08, y = 4.987288e-03
x = 4840.99, y = 4.986039e-03
x = 4850.90, y = 4.984781e-03
x = 4860.81, y = 4.983514e-03
x = 4870.72, y = 4.982239e-03
x = 4880.63, y = 4.980955e-03
x = 4890.54, y = 4.979662e-03
x = 4900.45, y = 4.978360e-03
x = 4910.36, y = 4.977050e-03
x = 4920.27, y = 4.975731e-03
x = 4930.18, y = 4.974403e-03
x = 4940.09, y = 4.973067e-03
x = 4950.00, y = 4.971722e-03
x = 4959.91, y = 4.970368e-03
x = 4969.82, y = 4.969006e-03
