x = 3176.13, y = 1.425390e-03
x = 3186.04, y = 1.428409e-03
x = 3195.95, y = 1.431446e-03
x = 3205.86, y = 1.434504e-03
x = 3215.77, y = 1.437590e-03
x = 3225.68, y = 1.440678e-03
x = 3235.59, y = 1.443768e-03
x = 3245.50, y = 1.446861e-03
x = 3255.41, y = 1.449956e-03
x = 3265.32, y = 1.453053e-03
x = 3275.23, y = 1.456152e-03
x = 3285.14, y = 1.459254e-03
x = 3295.05, y = 1.462358e-03
x = 3304.95, y = 1.465464e-03
x = 3314.86, y = 1.468572e-03
x = 3324.77, y = 1.471683e-03
x = 3334.68, y = 1.474796e-03
x = 3344.59, y = 1.477912e-03
x = 3354.50, y = 1.481029e-03
x = 3364.41, y = 1.484149e-03
x = 3374.32, y = 1.487271e-03
x = 3384.23, y = 1.490396e-03
x = 3394.14, y = 1.493459e-03
x = 3404.05, y = 1.496482e-03
x = 3413.96, y = 1.499500e-03
x = 3423.87, y = 1.502512e-03
x = 3433.78, y = 1.505518e-03
x = 3443.69, y = 1.508520e-03
x = 3453.60, y = 1.511515e-03
x = 3463.51, y = 1.514505e-03
x = 3473.42, y = 1.517490e-03
x = 3483.33, y = 1.520468e-03
x = 3493.24, y = 1.523442e-03
x = 3503.15, y = 1.526410e-03
x = 3513.06, y = 1.529372e-03
x = 3522.97, y = 1.532329e-03
x = 3532.88, y = 1.535280e-03
x = 3542.79, y = 1.538226e-03
x = 3552.70, y = 1.541166e-03
x = 3562.61, y = 1.544100e-03
x = 3572.52, y = 1.547013e-03
x = 3582.43, y = 1.549803e-03
x = 3592.34, y = 1.552606e-03
x = 3602.25, y = 1.555421e-03
x = 3612.16, y = 1.558249e-03
x = 3622.07, y = 1.561090e-03
x = 3631.98, y = 1.563944e-03
x = 3641.89, y = 1.566810e-03
x = 3651.80, y = 1.569688e-03
x = 3661.71, y = 1.572580e-03
x = 3671.62, y = 1.575484e-03
x = 3681.53, y = 1.578400e-03
x = 3691.44, y = 1.581330e-03
x = 3701.35, y = 1.584272e-03
x = 3711.26, y = 1.587227e-03
x = 3721.17, y = 1.590194e-03
x = 3731.08, y = 1.593174e-03
x = 3740.99, y = 1.596167e-03
x = 3750.90, y = 1.599172e-03
x = 3760.81, y = 1.602465e-03
x = 3770.72, y = 1.605959e-03
x = 3780.63, y = 1.609447e-03
x = 3790.54, y = 1.612930e-03
x = 3800.45, y = 1.616406e-03
x = 3810.36, y = 1.619878e-03
x = 3820.27, y = 1.623343e-03
x = 3830.18, y = 1.626803e-03
x = 3840.09, y = 1.630258e-03
x = 3850.00, y = 1.633707e-03
x = 3859.91, y = 1.637150e-03
x = 3869.82, y = 1.640588e-03
x = 3879.73, y = 1.644020e-03
x = 3889.64, y = 1.647446e-03
x = 3899.55, y = 1.650867e-03
x = 3909.46, y = 1.654283e-03
x = 3919.37, y = 1.657692e-03
x = 3929.28, y = 1.661096e-03
x = 3939.19, y = 1.664469e-03
x = 3949.10, y = 1.667235e-03
x = 3959.01, y = 1.669993e-03
x = 3968.92, y = 1.672742e-03
x = 3978.83, y = 1.675483e-03
x = 3988.74, y = 1.678215e-03
x = 3998.65, y = 1.680939e-03
x = 4008.56, y = 1.683654e-03
x = 4018.47, y = 1.686361e-03
x = 4028.38, y = 1.689059e-03
x = 4038.29, y = 1.691749e-03
x = 4048.20, y = 1.694430e-03
x = 4058.11, y = 1.697103e-03
x = 4068.02, y = 1.699768e-03
x = 4077.93, y = 1.702424e-03
x = 4087.84, y = 1.705071e-03
x = 4097.75, y = 1.707710e-03
x = 4107.66, y = 1.710341e-03
x = 4117.57, y = 1.712963e-03
x = 4127.48, y = 1.715740e-03
x = 4137.39, y = 1.718691e-03
x = 4147.30, y = 1.721664e-03
x = 4157.21, y = 1.724659e-03
x = 4167.12, y = 1.727677e-03
x = 4177.03, y = 1.730716e-03
x = 4186.94, y = 1.733778e-03
x = 4196.85, y = 1.736862e-03
x = 4206.76, y = 1.739967e-03
x = 4216.67, y = 1.743095e-03
x = 4226.58, y = 1.746246e-03
x = 4236.49, y = 1.749418e-03
x = 4246.40, y = 1.752612e-03
x = 4256.31, y = 1.755829e-03
x = 4266.22, y = 1.759067e-03
x = 4276.13, y = 1.762328e-03
x = 4286.04, y = 1.765611e-03
x = 4295.95, y = 1.768916e-03
x = 4305.86, y = 1.772243e-03
x = 4315.77, y = 1.775692e-03
x = 4325.68, y = 1.779152e-03
x = 4335.59, y = 1.782618e-03
x = 4345.50, y = 1.786091e-03
x = 4355.41, y = 1.789570e-03
x = 4365.32, y = 1.793057e-03
x = 4375.23, y = 1.796550e-03
x = 4385.14, y = 1.800050e-03
x = 4395.05, y = 1.803557e-03
x = 4404.95, y = 1.807071e-03
x = 4414.86, y = 1.810592e-03
x = 4424.77, y = 1.814119e-03
x = 4434.68, y = 1.817654e-03
x = 4444.59, y = 1.821195e-03
x = 4454.50, y = 1.824743e-03
x = 4464.41, y = 1.828298e-03
x = 4474.32, y = 1.831859e-03
x = 4484.23, y = 1.835428e-03
x = 4494.14, y = 1.838962e-03
x = 4504.05, y = 1.842438e-03
x = 4513.96, y = 1.845903e-03
x = 4523.87, y = 1.849358e-03
x = 4533.78, y = 1.852802e-03
x = 4543.69, y = 1.856235e-03
x = 4553.60, y = 1.859657e-03
x = 4563.51, y = 1.863069e-03
x = 4573.42, y = 1.866470e-03
x = 4583.33, y = 1.869860e-03
x = 4593.24, y = 1.873239e-03
x = 4603.15, y = 1.876608e-03
x = 4613.06, y = 1.879966e-03
x = 4622.97, y = 1.883313e-03
x = 4632.88, y = 1.886650e-03
x = 4642.79, y = 1.889975e-03
x = 4652.70, y = 1.893291e-03
x = 4662.61, y = 1.896595e-03
x = 4672.52, y = 1.899888e-03
x = 4682.43, y = 1.903089e-03
x = 4692.34, y = 1.906272e-03
x = 4702.25, y = 1.909446e-03
x = 4712.16, y = 1.912612e-03
x = 4722.07, y = 1.915769e-03
x = 4731.98, y = 1.918917e-03
x = 4741.89, y = 1.922057e-03
x = 4751.80, y = 1.925188e-03
x = 4761.71, y = 1.928310e-03
x = 4771.62, y = 1.931423e-03
x = 4781.53, y = 1.934528e-03
x = 4791.44, y = 1.937624e-03
x = 4801.35, y = 1.940711e-03
x = 4811.26, y = 1.943790e-03
x = 4821.17, y = 1.946860e-03
x = 4831.08, y = 1.949921e-03
x = 4840.99, y = 1.952973e-03
x = 4850.90, y = 1.956017e-03
x = 4860.81, y = 1.959048e-03
x = 4870.72, y = 1.962071e-03
x = 4880.63, y = 1.965099e-03
x = 4890.54, y = 1.968131e-03
x = 4900.45, y = 1.971169e-03
x = 4910.36, y = 1.974212e-03
x = 4920.27, y = 1.977259e-03
x = 4930.18, y = 1.980311e-03
x = 4940.09, y = 1.983369e-03
x = 4950.00, y = 1.986431e-03
x = 4959.91, y = 1.989497e-03
x = 4969.82, y = 1.992569e-03
x = 4979.73, y = 1.995646e-03
x = 4989.64, y = 1.998727e-03
x = 4999.55, y = 2.001814e-03
x = 5009.46, y = 2.004905e-03
x = 5019.37, y = 2.008001e-03
x = 5029.28, y = 2.011102e-03
x = 5039.19, y = 2.014208e-03
x = 5049.10, y = 2.017572e-03
x = 5059.01, y = 2.020974e-03
x = 5068.92, y = 2.024362e-03
x = 5078.83, y = 2.027738e-03
x = 5088.74, y = 2.031099e-03
x = 5098.65, y = 2.034447e-03
x = 5108.56, y = 2.037782e-03
x = 5118.47, y = 2.041103e-03
x = 5128.38, y = 2.044410e-03
x = 5138.29, y = 2.047704e-03
x = 5148.20, y = 2.050985e-03
x = 5158.11, y = 2.054252e-03
x = 5168.02, y = 2.057506e-03
x = 5177.93, y = 2.060746e-03
x = 5187.84, y = 2.063972e-03
x = 5197.75, y = 2.067185e-03
x = 5207.66, y = 2.070385e-03
x = 5217.57, y = 2.073571e-03
x = 5227.48, y = 2.076585e-03
x = 5237.39, y = 2.079220e-03
x = 5247.30, y = 2.081847e-03
x = 5257.21, y = 2.084466e-03
x = 5267.12, y = 2.087076e-03
x = 5277.03, y = 2.089677e-03
x = 5286.94, y = 2.092270e-03
x = 5296.85, y = 2.094855e-03
x = 5306.76, y = 2.097431e-03
x = 5316.67, y = 2.099998e-03
x = 5326.58, y = 2.102557e-03
x = 5336.49, y = 2.105108e-03
x = 5346.40, y = 2.107650e-03
x = 5356.31, y = 2.110183e-03
x = 5366.22, y = 2.112708e-03
x = 5376.13, y = 2.115225e-03
x = 5386.04, y = 2.117732e-03
x = 5395.95, y = 2.120232e-03
x = 5405.86, y = 2.122723e-03
x = 5415.77, y = 2.125447e-03
x = 5425.68, y = 2.128263e-03
x = 5435.59, y = 2.131099e-03
x = 5445.50, y = 2.133955e-03
x = 5455.41, y = 2.136832e-03
x = 5465.32, y = 2.139729e-03
x = 5475.23, y = 2.142647e-03
x = 5485.14, y = 2.145586e-03
x = 5495.05, y = 2.148545e-03
x = 5504.95, y = 2.151524e-03
x = 5514.86, y = 2.154524e-03
x = 5524.77, y = 2.157545e-03
x = 5534.68, y = 2.160586e-03
x = 5544.59, y = 2.163647e-03
x = 5554.50, y = 2.166729e-03
x = 5564.41, y = 2.169832e-03
x = 5574.32, y = 2.172955e-03
x = 5584.23, y = 2.176098e-03
x = 5594.14, y = 2.179268e-03
x = 5604.05, y = 2.182474e-03
x = 5613.96, y = 2.185693e-03
x = 5623.87, y = 2.188926e-03
x = 5633.78, y = 2.192173e-03
x = 5643.69, y = 2.195434e-03
x = 5653.60, y = 2.198709e-03
x = 5663.51, y = 2.201997e-03
x = 5673.42, y = 2.205300e-03
x = 5683.33, y = 2.208616e-03
x = 5693.24, y = 2.211947e-03
x = 5703.15, y = 2.215291e-03
x = 5713.06, y = 2.218649e-03
x = 5722.97, y = 2.222021e-03
x = 5732.88, y = 2.225407e-03
x = 5742.79, y = 2.228807e-03
x = 5752.70, y = 2.232221e-03
x = 5762.61, y = 2.235648e-03
x = 5772.52, y = 2.239090e-03
x = 5782.43, y = 2.242532e-03
x = 5792.34, y = 2.245975e-03
x = 5802.25, y = 2.249425e-03
x = 5812.16, y = 2.252881e-03
x = 5822.07, y = 2.256343e-03
x = 5831.98, y = 2.259812e-03
x = 5841.89, y = 2.263287e-03
x = 5851.80, y = 2.266768e-03
x = 5861.71, y = 2.270256e-03
x = 5871.62, y = 2.273750e-03
x = 5881.53, y = 2.277250e-03
x = 5891.44, y = 2.280757e-03
x = 5901.35, y = 2.284270e-03
x = 5911.26, y = 2.287789e-03
x = 5921.17, y = 2.291314e-03
x = 5931.08, y = 2.294846e-03
x = 5940.99, y = 2.298385e-03
x = 5950.90, y = 2.301929e-03
x = 5960.81, y = 2.305536e-03
x = 5970.72, y = 2.309411e-03
x = 5980.63, y = 2.313249e-03
x = 5990.54, y = 2.317050e-03
x = 6000.45, y = 2.320815e-03
x = 6010.36, y = 2.324542e-03
x = 6020.27, y = 2.328233e-03
x = 6030.18, y = 2.331887e-03
x = 6040.09, y = 2.335505e-03
x = 6050.00, y = 2.339086e-03
x = 6059.91, y = 2.342629e-03
x = 6069.82, y = 2.346137e-03
x = 6079.73, y = 2.349607e-03
x = 6089.64, y = 2.353041e-03
x = 6099.55, y = 2.356437e-03
x = 6109.46, y = 2.359798e-03
x = 6119.37, y = 2.363121e-03
x = 6129.28, y = 2.366408e-03
x = 6139.19, y = 2.369657e-03
x = 6149.10, y = 2.372210e-03
x = 6159.01, y = 2.374366e-03
x = 6168.92, y = 2.376518e-03
x = 6178.83, y = 2.378668e-03
x = 6188.74, y = 2.380815e-03
x = 6198.65, y = 2.382959e-03
x = 6208.56, y = 2.385100e-03
x = 6218.47, y = 2.387238e-03
x = 6228.38, y = 2.389373e-03
x = 6238.29, y = 2.391505e-03
x = 6248.20, y = 2.393635e-03
x = 6258.11, y = 2.395761e-03
x = 6268.02, y = 2.397885e-03
x = 6277.93, y = 2.400006e-03
x = 6287.84, y = 2.402124e-03
x = 6297.75, y = 2.404239e-03
x = 6307.66, y = 2.406351e-03
